abbr,2010,2011,2012,2013,2014,2015,2016,2017
AL,0.0006477826409915599,0.0,0.00226723924347046,0.0,0.0006477826409915599,0.0016194566024788997,0.0029150218844620195,0.008421174332890278
AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,0.018785696588755233,0.006477826409915599,0.0032389132049577994,0.0006477826409915599,0.007773391691898718,0.011336196217352297,0.006153935089419818,0.005830043768924039
AR,0.00032389132049577996,0.0,0.0006477826409915599,0.0,0.0006477826409915599,0.0006477826409915599,0.0009716739614873398,0.0009716739614873398
CA,0.012307870178839636,0.014575109422310098,0.04372532826693029,0.0019433479229746795,0.08129672144444076,0.060243785612215064,0.028826327524124413,0.04307754562593873
CO,0.017814022627267896,0.0016194566024788997,0.07384722107303782,0.0016194566024788997,0.022348501114208816,0.014251218101814317,0.029150218844620195,0.012631761499335417
CT,0.00032389132049577996,0.00032389132049577996,0.0009716739614873398,0.0,0.0009716739614873398,0.0006477826409915599,0.0,0.00032389132049577996
DE,0.0006477826409915599,0.0,0.00226723924347046,0.0,0.0,0.0019433479229746795,0.0,0.00032389132049577996
DC,0.00032389132049577996,0.0032389132049577994,0.0006477826409915599,0.00032389132049577996,0.0006477826409915599,0.00032389132049577996,0.0,0.0009716739614873398
FL,0.0009716739614873398,0.0009716739614873398,0.00032389132049577996,0.0,0.0012955652819831198,0.0,0.00032389132049577996,0.0
GA,0.0029150218844620195,0.0016194566024788997,0.0012955652819831198,0.0,0.0006477826409915599,0.0006477826409915599,0.00032389132049577996,0.00226723924347046
HI,0.0032389132049577994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID,0.00032389132049577996,0.00032389132049577996,0.008421174332890278,0.0,0.004210587166445139,0.0025911305639662397,0.0016194566024788997,0.0035628045254535792
IL,0.005506152448428258,0.003886695845949359,0.010040630935369178,0.0,0.004210587166445139,0.00906895697388184,0.049231480715358544,0.006477826409915599
IN,0.00226723924347046,0.0006477826409915599,0.0012955652819831198,0.0,0.00032389132049577996,0.0016194566024788997,0.0009716739614873398,0.0032389132049577994
IA,0.0012955652819831198,0.0012955652819831198,0.006477826409915599,0.0009716739614873398,0.0032389132049577994,0.0032389132049577994,0.007449500371402939,0.0006477826409915599
KS,0.00453447848694092,0.0,0.016842348665780556,0.0,0.010688413576360738,0.006801717730411379,0.006153935089419818,0.004858369807436699
KY,0.00032389132049577996,0.00032389132049577996,0.0006477826409915599,0.0,0.00032389132049577996,0.0,0.0,0.0006477826409915599
LA,0.0019433479229746795,0.0012955652819831198,0.006477826409915599,0.0012955652819831198,0.017490131306772117,0.00226723924347046,0.006477826409915599,0.0035628045254535792
ME,0.0025911305639662397,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MD,0.0019433479229746795,0.0029150218844620195,0.0016194566024788997,0.0,0.00032389132049577996,0.004858369807436699,0.0009716739614873398,0.0006477826409915599
MA,0.00032389132049577996,0.00032389132049577996,0.00032389132049577996,0.0,0.00032389132049577996,0.0009716739614873398,0.0019433479229746795,0.00032389132049577996
MI,0.0012955652819831198,0.00032389132049577996,0.003886695845949359,0.0,0.0,0.0006477826409915599,0.00032389132049577996,0.0025911305639662397
MN,0.0012955652819831198,0.00032389132049577996,0.015546783383797436,0.00032389132049577996,0.004858369807436699,0.0012955652819831198,0.017814022627267896,0.00453447848694092
MS,0.0019433479229746795,0.0071256090509071585,0.005830043768924039,0.0012955652819831198,0.005506152448428258,0.004210587166445139,0.004858369807436699,0.005506152448428258
MO,0.013279544140326976,0.0012955652819831198,0.0016194566024788997,0.0,0.00032389132049577996,0.0035628045254535792,0.0006477826409915599,0.00032389132049577996
MT,0.0,0.0,0.00906895697388184,0.0,0.0006477826409915599,0.00032389132049577996,0.0009716739614873398,0.0025911305639662397
NE,0.008745065653386059,0.004858369807436699,0.05441374184329103,0.0012955652819831198,0.03206524072908221,0.016518457345284777,0.019433479229746795,0.015546783383797436
NV,0.0006477826409915599,0.0012955652819831198,0.0009716739614873398,0.0,0.0,0.0009716739614873398,0.0009716739614873398,0.009392848294377617
NH,0.0009716739614873398,0.0,0.0,0.0,0.0,0.0,0.0,0.00032389132049577996
NJ,0.004858369807436699,0.0016194566024788997,0.0006477826409915599,0.0,0.0006477826409915599,0.0009716739614873398,0.0,0.0006477826409915599
NM,0.0012955652819831198,0.0,0.00453447848694092,0.0,0.0016194566024788997,0.0006477826409915599,0.0,0.0032389132049577994
NY,0.0,0.0,0.0,0.0,0.0029150218844620195,0.004858369807436699,0.00453447848694092,0.011336196217352297
NC,0.04534478486940919,0.0,0.00032389132049577996,0.0,0.0,0.0,0.0,0.00032389132049577996
ND,0.00226723924347046,0.0009716739614873398,0.020405153191234135,0.0,0.0032389132049577994,0.004210587166445139,0.017490131306772117,0.013603435460822757
OH,0.00032389132049577996,0.0035628045254535792,0.0012955652819831198,0.0,0.00032389132049577996,0.003886695845949359,0.0016194566024788997,0.0035628045254535792
OK,0.003886695845949359,0.0,0.008421174332890278,0.0,0.0029150218844620195,0.012955652819831198,0.004210587166445139,0.004210587166445139
OR,0.0019433479229746795,0.0,0.00032389132049577996,0.0,0.00032389132049577996,0.0,0.00032389132049577996,0.0016194566024788997
PA,0.0029150218844620195,0.00032389132049577996,0.0016194566024788997,0.0,0.00032389132049577996,0.004210587166445139,0.0016194566024788997,0.0019433479229746795
RI,0.0029150218844620195,0.0,0.0006477826409915599,0.0,0.0,0.0,0.0,0.00032389132049577996
SC,0.012955652819831198,0.0,0.0012955652819831198,0.0,0.0,0.0,0.0006477826409915599,0.0009716739614873398
SD,0.005182261127932479,0.0006477826409915599,0.029798001485611757,0.0035628045254535792,0.014575109422310098,0.009392848294377617,0.037571393177510466,0.014899000742805878
TN,0.0006477826409915599,0.0006477826409915599,0.00226723924347046,0.0,0.0012955652819831198,0.00032389132049577996,0.0009716739614873398,0.003886695845949359
TX,0.003886695845949359,0.00226723924347046,0.021052935832225696,0.00032389132049577996,0.03821917581850203,0.022672392434704595,0.03627582789552736,0.015546783383797436
UT,0.00032389132049577996,0.0006477826409915599,0.0009716739614873398,0.0,0.00032389132049577996,0.0009716739614873398,0.0019433479229746795,0.007773391691898718
VT,0.0006477826409915599,0.0,0.00032389132049577996,0.0,0.0,0.0,0.00032389132049577996,0.00032389132049577996
VA,0.0006477826409915599,0.0,0.0032389132049577994,0.0,0.0006477826409915599,0.00226723924347046,0.0019433479229746795,0.00032389132049577996
WA,0.00032389132049577996,0.0,0.00032389132049577996,0.0,0.0016194566024788997,0.005182261127932479,0.00032389132049577996,0.0009716739614873398
WV,0.0,0.0,0.0012955652819831198,0.0,0.0,0.0,0.00032389132049577996,0.0
WI,0.0006477826409915599,0.00032389132049577996,0.0012955652819831198,0.00032389132049577996,0.0009716739614873398,0.0012955652819831198,0.0012955652819831198,0.0025911305639662397
WY,0.0012955652819831198,0.0006477826409915599,0.008097283012394497,0.0,0.0016194566024788997,0.0016194566024788997,0.0009716739614873398,0.0009716739614873398
